Name,Age,Overall,Potential,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Position,Ability
L. Messi,31,94,94,110.5,565,2202,0,5,4,4,4,4,188
Cristiano Ronaldo,33,94,94,77,405,2228,1,5,4,5,4,4,188
Neymar Jr,26,92,93,118.5,290,2143,1,5,5,5,3,4,185
De Gea,27,91,93,72,260,1471,1,4,3,1,2,1,184
K. De Bruyne,27,91,92,102,355,2281,1,4,5,4,4,3,183
E. Hazard,27,91,91,93,340,2142,1,4,4,4,3,4,182
L. Modrić,32,91,91,67,420,2280,1,4,4,4,4,3,182
L. Suárez,31,91,91,80,455,2346,1,5,4,3,3,4,182
Sergio Ramos,32,91,91,51,380,2201,1,4,3,3,3,2,182
J. Oblak,25,90,93,68,94,1331,1,3,3,1,2,1,183
R. Lewandowski,29,90,90,77,205,2152,1,4,4,4,3,4,180
T. Kroos,28,90,90,76.5,355,2190,1,4,5,3,2,3,180
D. Godín,32,90,90,44,125,1946,1,3,3,2,3,2,180
David Silva,32,90,90,60,285,2115,0,4,2,4,3,3,180
N. Kanté,27,89,90,63,225,2189,1,3,3,2,3,3,179
P. Dybala,24,89,94,89,205,2092,0,3,3,4,3,4,183
H. Kane,24,89,91,83.5,205,2165,1,3,4,3,4,4,180
A. Griezmann,27,89,90,78,145,2246,0,4,3,4,4,3,179
M. ter Stegen,26,89,92,58,240,1328,1,3,4,1,2,1,181
T. Courtois,26,89,90,53.5,240,1311,0,4,2,1,2,1,179
Sergio Busquets,29,89,89,51.5,315,2065,1,4,3,3,2,3,178
E. Cavani,31,89,89,60,200,2161,1,4,4,3,4,4,178
M. Neuer,32,89,89,38,130,1473,1,5,4,1,2,1,178
S. Agüero,30,89,89,64.5,300,2107,1,4,4,4,3,4,178
G. Chiellini,33,89,89,27,215,1841,0,4,3,2,3,2,178
K. Mbappé,19,88,95,81,100,2118,1,3,4,5,3,3,183
M. Salah,26,88,89,69.5,255,2146,0,3,3,4,3,3,177
Casemiro,26,88,90,59.5,285,2170,1,3,3,2,3,3,178
J. Rodríguez,26,88,89,69.5,315,2171,0,4,3,4,2,3,177
L. Insigne,27,88,88,62,165,2017,1,3,3,4,3,4,176
Isco,26,88,91,73.5,315,2137,1,3,3,4,3,4,179
C. Eriksen,26,88,91,73.5,205,2117,1,3,5,4,3,3,179
Coutinho,26,88,89,69.5,340,2175,1,3,4,5,4,4,177
P. Aubameyang,29,88,88,59,265,2069,1,3,4,4,1,3,176
M. Hummels,29,88,88,46,160,2038,1,4,3,3,3,2,176
